"ID","Gemeinde_fr","Tabelle_fr","Staerkste_Partei"
1,"Aeugst am Albis (ZH)","Résultats non encore disponibles.","no_data"
2,"Affoltern am Albis (ZH)","Résultats non encore disponibles.","no_data"
3,"Bonstetten (ZH)","Résultats non encore disponibles.","no_data"
4,"Hausen am Albis (ZH)","Résultats non encore disponibles.","no_data"
5,"Hedingen (ZH)","Résultats non encore disponibles.","no_data"
6,"Kappel am Albis (ZH)","Résultats non encore disponibles.","no_data"
7,"Knonau (ZH)","Résultats non encore disponibles.","no_data"
8,"Maschwanden (ZH)","tab_h_fr$tr£$td£UDC$/td£tab_r155tab_r2#547d34tab_r3$td£$b£36.4%$/b£$/td£§-8.1$/td£$/tr£$tr£$td£PS$/td£tab_r128tab_r2#ea546ftab_r3$td£$b£18.5%$/b£$/td£§+1.6$/td£$/tr£$tr£$td£PVL$/td£tab_r119tab_r2#cbd401tab_r3$td£$b£12.5%$/b£$/td£§+0.2$/td£$/tr£$tr£$td£Centre$/td£tab_r112tab_r2#f39f5etab_r3$td£$b£8.1%$/b£$/td£§+2.6$/td£$/tr£$tr£$td£Divers$/td£tab_r112tab_r2#bebebetab_r3$td£$b£7.9%$/b£$/td£§+7.1$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r112tab_r2#26b300tab_r3$td£$b£7.8%$/b£$/td£§-2.2$/td£$/tr£$tr£$td£PEV$/td£tab_r16tab_r2#87bfdctab_r3$td£$b£4.0%$/b£$/td£§+0.6$/td£$/tr£$tr£$td£PLR$/td£tab_r15tab_r2#6268AFtab_r3$td£$b£3.2%$/b£$/td£§-0.2$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£233$/b£$br£Taux de participation: $b£54.7%$/b£ (+7.2%)","SVP"
9,"Mettmenstetten (ZH)","Résultats non encore disponibles.","no_data"
10,"Obfelden (ZH)","tab_h_fr$tr£$td£UDC$/td£tab_r156tab_r2#547d34tab_r3$td£$b£37.6%$/b£$/td£§+3.8$/td£$/tr£$tr£$td£PS$/td£tab_r123tab_r2#ea546ftab_r3$td£$b£15.3%$/b£$/td£§+0.6$/td£$/tr£$tr£$td£PVL$/td£tab_r118tab_r2#cbd401tab_r3$td£$b£12.2%$/b£$/td£§-2.4$/td£$/tr£$tr£$td£Centre$/td£tab_r115tab_r2#f39f5etab_r3$td£$b£9.9%$/b£$/td£§+1.7$/td£$/tr£$tr£$td£PLR$/td£tab_r114tab_r2#6268AFtab_r3$td£$b£9.0%$/b£$/td£§-2.5$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r110tab_r2#26b300tab_r3$td£$b£6.9%$/b£$/td£§-1.7$/td£$/tr£$tr£$td£PEV$/td£tab_r16tab_r2#87bfdctab_r3$td£$b£3.9%$/b£$/td£§-1.5$/td£$/tr£$tr£$td£Divers$/td£tab_r15tab_r2#bebebetab_r3$td£$b£3.3%$/b£$/td£§+2.3$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£1'573$/b£$br£Taux de participation: $b£44.6%$/b£ (+1.4%)","SVP"
11,"Ottenbach (ZH)","Résultats non encore disponibles.","no_data"
12,"Rifferswil (ZH)","Résultats non encore disponibles.","no_data"
13,"Stallikon (ZH)","tab_h_fr$tr£$td£UDC$/td£tab_r148tab_r2#547d34tab_r3$td£$b£32.1%$/b£$/td£§-3.5$/td£$/tr£$tr£$td£PS$/td£tab_r123tab_r2#ea546ftab_r3$td£$b£15.7%$/b£$/td£§+1.4$/td£$/tr£$tr£$td£PLR$/td£tab_r122tab_r2#6268AFtab_r3$td£$b£14.8%$/b£$/td£§+0.1$/td£$/tr£$tr£$td£PVL$/td£tab_r122tab_r2#cbd401tab_r3$td£$b£14.5%$/b£$/td£§-1.3$/td£$/tr£$tr£$td£Centre$/td£tab_r115tab_r2#f39f5etab_r3$td£$b£10.3%$/b£$/td£§+4.7$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r111tab_r2#26b300tab_r3$td£$b£7.0%$/b£$/td£§-3.6$/td£$/tr£$tr£$td£Divers$/td£tab_r15tab_r2#bebebetab_r3$td£$b£3.4%$/b£$/td£§+2.4$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£1'249$/b£$br£Taux de participation: $b£52.0%$/b£ (+4.5%)","SVP"
14,"Wettswil am Albis (ZH)","Résultats non encore disponibles.","no_data"
