"ID","Gemeinde_de","Tabelle_de","Staerkste_Partei"
1,"Aeugst am Albis ZH","Resultat liegt noch nicht vor.","no_data"
2,"Affoltern am Albis ZH","Resultat liegt noch nicht vor.","no_data"
3,"Bonstetten ZH","Resultat liegt noch nicht vor.","no_data"
4,"Hausen am Albis ZH","tab_h$tr£$td£SVP$/td£tab_r151tab_r2#547d34tab_r3$td£$b£34.1%$/b£$/td£§+0.9$/td£$/tr£$tr£$td£SP$/td£tab_r127tab_r2#ea546ftab_r3$td£$b£17.8%$/b£$/td£§+4.1$/td£$/tr£$tr£$td£GLP$/td£tab_r118tab_r2#cbd401tab_r3$td£$b£12.1%$/b£$/td£§-0.3$/td£$/tr£$tr£$td£FDP$/td£tab_r116tab_r2#6268AFtab_r3$td£$b£10.3%$/b£$/td£§-0.8$/td£$/tr£$tr£$td£Grüne$/td£tab_r115tab_r2#26b300tab_r3$td£$b£10.0%$/b£$/td£§-6.8$/td£$/tr£$tr£$td£Mitte$/td£tab_r110tab_r2#f39f5etab_r3$td£$b£7.0%$/b£$/td£§+1.4$/td£$/tr£$tr£$td£weitere$/td£tab_r16tab_r2#bebebetab_r3$td£$b£3.8%$/b£$/td£§+2.8$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£1'379$/b£$br£Wahlbeteiligung: $b£52.7%$/b£ (-0.8%)","SVP"
5,"Hedingen ZH","tab_h$tr£$td£SVP$/td£tab_r147tab_r2#547d34tab_r3$td£$b£31.3%$/b£$/td£§+4.7$/td£$/tr£$tr£$td£GLP$/td£tab_r124tab_r2#cbd401tab_r3$td£$b£16.0%$/b£$/td£§-0.4$/td£$/tr£$tr£$td£SP$/td£tab_r123tab_r2#ea546ftab_r3$td£$b£15.6%$/b£$/td£§-1.2$/td£$/tr£$tr£$td£FDP$/td£tab_r122tab_r2#6268AFtab_r3$td£$b£14.5%$/b£$/td£§+0.5$/td£$/tr£$tr£$td£Grüne$/td£tab_r111tab_r2#26b300tab_r3$td£$b£7.4%$/b£$/td£§-5.0$/td£$/tr£$tr£$td£Mitte$/td£tab_r110tab_r2#f39f5etab_r3$td£$b£6.5%$/b£$/td£§+0.8$/td£$/tr£$tr£$td£weitere$/td£tab_r15tab_r2#bebebetab_r3$td£$b£3.6%$/b£$/td£§+2.4$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£1'475$/b£$br£Wahlbeteiligung: $b£59.2%$/b£ (+5.2%)","SVP"
6,"Kappel am Albis ZH","tab_h$tr£$td£SVP$/td£tab_r172tab_r2#547d34tab_r3$td£$b£47.7%$/b£$/td£§+4.1$/td£$/tr£$tr£$td£GLP$/td£tab_r119tab_r2#cbd401tab_r3$td£$b£12.5%$/b£$/td£§+1.6$/td£$/tr£$tr£$td£SP$/td£tab_r114tab_r2#ea546ftab_r3$td£$b£9.5%$/b£$/td£§+0.4$/td£$/tr£$tr£$td£FDP$/td£tab_r112tab_r2#6268AFtab_r3$td£$b£7.8%$/b£$/td£§-3.1$/td£$/tr£$tr£$td£Mitte$/td£tab_r112tab_r2#f39f5etab_r3$td£$b£7.7%$/b£$/td£§+1.0$/td£$/tr£$tr£$td£Grüne$/td£tab_r19tab_r2#26b300tab_r3$td£$b£6.0%$/b£$/td£§-4.1$/td£$/tr£$tr£$td£EVP$/td£tab_r16tab_r2#87bfdctab_r3$td£$b£4.3%$/b£$/td£§-0.2$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£425$/b£$br£Wahlbeteiligung: $b£51.7%$/b£ (+2.8%)","SVP"
7,"Knonau ZH","tab_h$tr£$td£SVP$/td£tab_r148tab_r2#547d34tab_r3$td£$b£31.7%$/b£$/td£§-0.6$/td£$/tr£$tr£$td£SP$/td£tab_r123tab_r2#ea546ftab_r3$td£$b£15.4%$/b£$/td£§+4.0$/td£$/tr£$tr£$td£GLP$/td£tab_r122tab_r2#cbd401tab_r3$td£$b£14.5%$/b£$/td£§-2.8$/td£$/tr£$tr£$td£Mitte$/td£tab_r117tab_r2#f39f5etab_r3$td£$b£11.3%$/b£$/td£§+3.2$/td£$/tr£$tr£$td£FDP$/td£tab_r113tab_r2#6268AFtab_r3$td£$b£8.6%$/b£$/td£§-0.6$/td£$/tr£$tr£$td£Grüne$/td£tab_r111tab_r2#26b300tab_r3$td£$b£7.0%$/b£$/td£§-4.3$/td£$/tr£$tr£$td£weitere$/td£tab_r17tab_r2#bebebetab_r3$td£$b£4.9%$/b£$/td£§+3.8$/td£$/tr£$tr£$td£EVP$/td£tab_r17tab_r2#87bfdctab_r3$td£$b£4.4%$/b£$/td£§-2.5$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£776$/b£$br£Wahlbeteiligung: $b£52.8%$/b£ (+6.3%)","SVP"
8,"Maschwanden ZH","tab_h$tr£$td£SVP$/td£tab_r155tab_r2#547d34tab_r3$td£$b£36.4%$/b£$/td£§-8.1$/td£$/tr£$tr£$td£SP$/td£tab_r128tab_r2#ea546ftab_r3$td£$b£18.5%$/b£$/td£§+1.6$/td£$/tr£$tr£$td£GLP$/td£tab_r119tab_r2#cbd401tab_r3$td£$b£12.5%$/b£$/td£§+0.2$/td£$/tr£$tr£$td£Mitte$/td£tab_r112tab_r2#f39f5etab_r3$td£$b£8.1%$/b£$/td£§+2.6$/td£$/tr£$tr£$td£weitere$/td£tab_r112tab_r2#bebebetab_r3$td£$b£7.9%$/b£$/td£§+7.1$/td£$/tr£$tr£$td£Grüne$/td£tab_r112tab_r2#26b300tab_r3$td£$b£7.8%$/b£$/td£§-2.2$/td£$/tr£$tr£$td£EVP$/td£tab_r16tab_r2#87bfdctab_r3$td£$b£4.0%$/b£$/td£§+0.6$/td£$/tr£$tr£$td£FDP$/td£tab_r15tab_r2#6268AFtab_r3$td£$b£3.2%$/b£$/td£§-0.2$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£233$/b£$br£Wahlbeteiligung: $b£54.7%$/b£ (+7.2%)","SVP"
9,"Mettmenstetten ZH","Resultat liegt noch nicht vor.","no_data"
10,"Obfelden ZH","tab_h$tr£$td£SVP$/td£tab_r156tab_r2#547d34tab_r3$td£$b£37.6%$/b£$/td£§+3.8$/td£$/tr£$tr£$td£SP$/td£tab_r123tab_r2#ea546ftab_r3$td£$b£15.3%$/b£$/td£§+0.6$/td£$/tr£$tr£$td£GLP$/td£tab_r118tab_r2#cbd401tab_r3$td£$b£12.2%$/b£$/td£§-2.4$/td£$/tr£$tr£$td£Mitte$/td£tab_r115tab_r2#f39f5etab_r3$td£$b£9.9%$/b£$/td£§+1.7$/td£$/tr£$tr£$td£FDP$/td£tab_r114tab_r2#6268AFtab_r3$td£$b£9.0%$/b£$/td£§-2.5$/td£$/tr£$tr£$td£Grüne$/td£tab_r110tab_r2#26b300tab_r3$td£$b£6.9%$/b£$/td£§-1.7$/td£$/tr£$tr£$td£EVP$/td£tab_r16tab_r2#87bfdctab_r3$td£$b£3.9%$/b£$/td£§-1.5$/td£$/tr£$tr£$td£weitere$/td£tab_r15tab_r2#bebebetab_r3$td£$b£3.3%$/b£$/td£§+2.3$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£1'573$/b£$br£Wahlbeteiligung: $b£44.6%$/b£ (+1.4%)","SVP"
