"ID","Gemeinde_de","Text_de","Staerkste_Partei"
1,"Aeugst am Albis ZH","In Aeugst am Albis bleibt die <b>SVP</b> die stimmenstärkste Partei. Die Partei holt 30,4 Prozent aller Stimmen (-0,5 Prozentpunkte).<br><br>Auf dem zweiten Platz in der Gemeinde liegt die <b>FDP</b>. Die Partei erreicht einen Wählerstimmenanteil von 16,4 Prozent (-2,3 Prozentpunkte).<br><br>Mit einem deutlichen Anstieg von +8 Prozentpunkten gegenüber den letzten Wahlen können sich die <b>Grünen</b> ihren Platz als drittgrösste Partei in der Gemeinde sichern. Der Wähleranteil liegt nun bei 15,1 Prozent.","SVP"
2,"Affoltern am Albis ZH","Die Reihenfolge der Parteien in Affoltern am Albis bleibt im Vergleich zu den Wahlen 2019 gleich: Die <b>SVP</b> bleibt mit 30,3 Prozent die stärkste Kraft, gefolgt von der <b>SP</b> (14,6 Prozent, -4,4 Prozentpunkte) und der <b>FDP</b> (13,4 Prozent, -0,8 Prozentpunkte).<br><br>","SVP"
3,"Bonstetten ZH","In Bonstetten behält die <b>SVP</b> ihren Status als stärkste politische Kraft. Die Partei sichert sich einen Wähleranteil von 26,1 Prozent (-3 Prozentpunkte).<br><br>Die <b>SP</b> ist die zweitstärkste Kraft in der Gemeinde. Die Partei kommt auf 16,7 Prozent (-3,7 Prozentpunkte).<br><br>Die <b>GLP</b> sichert sich den dritten Platz, mit einem Wähleranteil von 16,2 Prozent (Veränderung gegenüber 2019: +4,4 Prozentpunkte).","SVP"
4,"Hausen am Albis ZH","Unverändert ist die <b>SVP</b> die stärkste Partei in Hausen am Albis mit 33,2 Prozent (-1,8 Prozentpunkte).<br><br>Die <b>Grünen</b> steigern sich mit einem Plus von +8,7 Prozentpunkte stark. Die Partei belegt nun den zweiten Platz in der Gemeinde. Der Wählerstimmenanteil beträgt neu 16,7 Prozent.<br><br>Die <b>SP</b> muss sich mit dem dritten Platz begnügen. Die Partei erreicht nur noch 13,7 Prozent der Stimmen und damit -5,7 Prozentpunkte weniger als vor vier Jahren.","SVP"
5,"Hedingen ZH","Keine Änderung an der Spitze in Hedingen: Die <b>SVP</b> holt wie vor vier Jahren die meisten Stimmen (26,6 Prozent, -3,5 Prozentpunkte).<br><br>Trotz einem Minus von -5,7 Prozentpunkten gegenüber den Wahlen 2019 belegt die <b>SP</b> immer noch den zweiten Platz. Dies dank eines Wähleranteils von 16,7 Prozent.<br><br>Deutlich zulegen kann die <b>GLP</b>. Die Partei ist die drittstärkste Kraft in der Gemeinde und kommt neu auf einen Wähleranteil von 16,4 Prozent, was einer Zunahme von +6,8 Prozentpunkten gegenüber der letzten Wahl entspricht.","SVP"
6,"Kappel am Albis ZH","In Kappel am Albis behält die <b>SVP</b> ihren Status als stärkste politische Kraft. Die Partei sichert sich einen Wähleranteil von 43,6 Prozent (-5 Prozentpunkte).<br><br>Den zweiten Platz in Kappel am Albis teilen sich zwei Parteien: Die <b>GLP</b> und die <b>FDP</b> sind genau gleich stark. Mit je 10,9 Prozent kommen beide Parteien auf den gleichen Wähleranteil.<br><br>","SVP"
7,"Knonau ZH","Keine Änderung an der Spitze in Knonau: Die <b>SVP</b> holt wie vor vier Jahren die meisten Stimmen (32,3 Prozent, -0,6 Prozentpunkte).<br><br>Die <b>GLP</b> steigert sich mit einem Plus von +6,9 Prozentpunkte stark. Die Partei belegt nun den zweiten Platz in der Gemeinde. Der Wählerstimmenanteil beträgt neu 17,3 Prozent.<br><br>Die <b>SP</b> muss sich mit dem dritten Platz begnügen. Die Partei erreicht nur noch 11,4 Prozent der Stimmen und damit -7 Prozentpunkte weniger als vor vier Jahren.","SVP"
8,"Maschwanden ZH","Nach wie vor ist die <b>SVP</b> in Maschwanden unangefochten die grösste Partei, mit einem Wähleranteil von 44,5 Prozent (+1,1 Prozentpunkte). Der Vorsprung auf die zweitstärkste Partei, die <b>SP</b>, ist beträchtlich - nämlich 27,6 Prozentpunkte. Die <b>SP</b> erreicht einen Wähleranteil von 16,9 Prozent (-5,8 Prozentpunkte). <br><br>Mit einem deutlichen Anstieg von +7,4 Prozentpunkten gegenüber den letzten Wahlen kann sich die <b>GLP</b> ihren Platz als drittgrösste Partei in der Gemeinde sichern. Der Wähleranteil liegt nun bei 12,3 Prozent.","SVP"
9,"Mettmenstetten ZH","Unverändert ist die <b>SVP</b> die stärkste Partei in Mettmenstetten mit 31,2 Prozent (-4,4 Prozentpunkte).<br><br>In der Gemeinde landet die <b>SP</b> auf dem zweiten Platz. Die Partei erreicht einen Wählerstimmenanteil von 15,4 Prozent (-3,4 Prozentpunkte). <br><br>Die <b>GLP</b> verzeichnet einen deutlichen Zuwachs. Die Partei belegt nun den dritten Platz in der Gemeinde und erreicht neu einen Wähleranteil von 14,6 Prozent. Das sind +5 Prozentpunkte mehr als im Vergleich zu den letzten Wahlen.","SVP"
10,"Obfelden ZH","Unverändert ist die <b>SVP</b> die stärkste Partei in Obfelden mit 33,7 Prozent (-2,5 Prozentpunkte).<br><br>Den zweiten Platz in Obfelden teilen sich zwei Parteien: Die <b>SP</b> und die <b>GLP</b> sind genau gleich stark. Mit je 14,6 Prozent kommen beide Parteien auf den gleichen Wähleranteil.<br><br>","SVP"
