"ID","Gemeinde_de","Gemeinde_fr","Gemeinde_it","Text_de","Text_fr","Text_it","Tabelle_de","Tabelle_fr","Tabelle_it","Staerkste_Partei"
1701,"Baar ZG","Baar (ZG)","Baar ZG","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
1702,"Cham ZG","Cham (ZG)","Cham ZG","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
1703,"Hünenberg ZG","Hünenberg (ZG)","Hünenberg ZG","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
1704,"Menzingen ZG","Menzingen (ZG)","Menzingen ZG","In Menzingen behält  <b>SVP</b> ihren Status als stärkste politische Kraft und sichert sich einen Wähleranteil von 31,1 Prozent gesichert (-1,7 Prozentpunkte).<br><br>Die <b>SP</b> steigert sich mit einem Plus von +10,6 Prozentpunkte stark und belegt nun den zweiten Platz in der Gemeinde. Der Wählerstimmenanteil der Partei beträgt neu 15,5 Prozent.<br><br>Am drittmeisten Stimmen, nämlich 14,7 Prozent, gehen in Menzingen an Listen oder Parteien aus der Kategorie ""Übrige"".","Les électeurs de Menzingen n'ont pas retourné leur veste depuis 2019. Le parti le plus fort dans leur commune reste <b>UDC</b>, avec 31,1 pour cent des suffrages (-1,7 points de pourcentage).<br><br>Le <b>PS</b> est le deuxième parti le plus fort à Menzingen. Il s'est amélioré de +10,6 points de pourcentage par rapport aux élections pour le Conseil national de 2019.<br><br>Des partis ou des listes issus du groupe ""Divers"" terminent troisième à Menzingen. lls séduisent14,7 pour cent des électeurs.","NA<br><br>NA<br><br>NA","tab_h$tr£$td£SVP$/td£tab_r147tab_r2#547d34tab_r3$td£$b£31.1%$/b£$/td£§-1.7$/td£$/tr£$tr£$td£SP$/td£tab_r123tab_r2#ea546ftab_r3$td£$b£15.5%$/b£$/td£§+10.6$/td£$/tr£$tr£$td£weitere$/td£tab_r122tab_r2#bebebetab_r3$td£$b£14.7%$/b£$/td£§+14.7$/td£$/tr£$tr£$td£Grüne$/td£tab_r119tab_r2#26b300tab_r3$td£$b£12.4%$/b£$/td£§-3.9$/td£$/tr£$tr£$td£EVP$/td£tab_r111tab_r2#87bfdctab_r3$td£$b£7.3%$/b£$/td£§+6.1$/td£$/tr£$tr£$td£GLP$/td£tab_r110tab_r2#cbd401tab_r3$td£$b£6.5%$/b£$/td£§+3.0$/td£$/tr£$tr£$td£FDP$/td£tab_r19tab_r2#6268AFtab_r3$td£$b£6.3%$/b£$/td£§-3.1$/td£$/tr£$tr£$td£Mitte$/td£tab_r19tab_r2#f39f5etab_r3$td£$b£6.1%$/b£$/td£§-25.7$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£1'640$/b£$br£Wahlbeteiligung: $b£56.8%$/b£ (+1.2%)","tab_h_fr$tr£$td£UDC$/td£tab_r147tab_r2#547d34tab_r3$td£$b£31.1%$/b£$/td£§-1.7$/td£$/tr£$tr£$td£PS$/td£tab_r123tab_r2#ea546ftab_r3$td£$b£15.5%$/b£$/td£§+10.6$/td£$/tr£$tr£$td£divers$/td£tab_r122tab_r2#bebebetab_r3$td£$b£14.7%$/b£$/td£§+14.7$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r119tab_r2#26b300tab_r3$td£$b£12.4%$/b£$/td£§-3.9$/td£$/tr£$tr£$td£PEV$/td£tab_r111tab_r2#87bfdctab_r3$td£$b£7.3%$/b£$/td£§+6.1$/td£$/tr£$tr£$td£PVL$/td£tab_r110tab_r2#cbd401tab_r3$td£$b£6.5%$/b£$/td£§+3.0$/td£$/tr£$tr£$td£PLR$/td£tab_r19tab_r2#6268AFtab_r3$td£$b£6.3%$/b£$/td£§-3.1$/td£$/tr£$tr£$td£Centre$/td£tab_r19tab_r2#f39f5etab_r3$td£$b£6.1%$/b£$/td£§-25.7$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£1'640$/b£$br£Taux de participation: $b£56.8%$/b£ (+1.2%)","tab_h_it$tr£$td£UDC$/td£tab_r147tab_r2#547d34tab_r3$td£$b£31.1%$/b£$/td£§-1.7$/td£$/tr£$tr£$td£PS$/td£tab_r123tab_r2#ea546ftab_r3$td£$b£15.5%$/b£$/td£§+10.6$/td£$/tr£$tr£$td£altro$/td£tab_r122tab_r2#bebebetab_r3$td£$b£14.7%$/b£$/td£§+14.7$/td£$/tr£$tr£$td£Verdi$/td£tab_r119tab_r2#26b300tab_r3$td£$b£12.4%$/b£$/td£§-3.9$/td£$/tr£$tr£$td£PEV$/td£tab_r111tab_r2#87bfdctab_r3$td£$b£7.3%$/b£$/td£§+6.1$/td£$/tr£$tr£$td£PVL$/td£tab_r110tab_r2#cbd401tab_r3$td£$b£6.5%$/b£$/td£§+3.0$/td£$/tr£$tr£$td£PLR$/td£tab_r19tab_r2#6268AFtab_r3$td£$b£6.3%$/b£$/td£§-3.1$/td£$/tr£$tr£$td£Centro$/td£tab_r19tab_r2#f39f5etab_r3$td£$b£6.1%$/b£$/td£§-25.7$/td£$/tr£$/table£$br£Schede elettorali valide: $b£1'640$/b£$br£Tasso di partecipazione: $b£56.8%$/b£ (+1.2%)","SVP"
1705,"Neuheim ZG","Neuheim (ZG)","Neuheim ZG","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
1706,"Oberägeri ZG","Oberägeri (ZG)","Oberägeri ZG","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
1707,"Risch ZG","Risch (ZG)","Risch ZG","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
1708,"Steinhausen ZG","Steinhausen (ZG)","Steinhausen ZG","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
1709,"Unterägeri ZG","Unterägeri (ZG)","Unterägeri ZG","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
1710,"Walchwil ZG","Walchwil (ZG)","Walchwil ZG","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
