"ID","Gemeinde_de","Gemeinde_fr","Gemeinde_it","Text_de","Text_fr","Text_it","Tabelle_de","Tabelle_fr","Tabelle_it","Staerkste_Partei"
1301,"Einsiedeln SZ","Einsiedeln (SZ)","Einsiedeln SZ","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
1311,"Gersau SZ","Gersau (SZ)","Gersau SZ","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
1321,"Feusisberg SZ","Feusisberg (SZ)","Feusisberg SZ","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
1322,"Freienbach SZ","Freienbach (SZ)","Freienbach SZ","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
1323,"Wollerau SZ","Wollerau (SZ)","Wollerau SZ","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
1331,"Küssnacht SZ","Küssnacht (SZ)","Küssnacht SZ","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
1341,"Altendorf SZ","Altendorf (SZ)","Altendorf SZ","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
1342,"Galgenen SZ","Galgenen (SZ)","Galgenen SZ","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
1343,"Innerthal SZ","Innerthal (SZ)","Innerthal SZ","Die Wählerinnen und Wähler von Innerthal stimmen am meisten für die <b>SVP</b> (146 Stimmen), gefolgt von der <b>Mitte</b> (71 Stimmen) und der <b>FDP</b> (43 Stimmen).<br><br>","Les électeurs d'Innerthal accordent leur confiance au <b>UDC</b> (146 voix), au <b>Centre</b> (71 voix) et au <b><b>PL</b>R</b> (43 voix).<br><br>","Gli aventi diritto di voto a Innerthal hanno votato <b>UDC</b> (146 voti). Seguono <b>Centro</b> (71 voti) e <b>PLR</b> (43 voti).<br><br>","tab_h$tr£$td£SVP$/td£tab_r176tab_r2#547d34tab_r3$td£$b£50.9%$/b£$/td£§+9.2$/td£$/tr£$tr£$td£Mitte$/td£tab_r137tab_r2#f39f5etab_r3$td£$b£24.7%$/b£$/td£§-8.9$/td£$/tr£$tr£$td£FDP$/td£tab_r122tab_r2#6268AFtab_r3$td£$b£15.0%$/b£$/td£§+2.3$/td£$/tr£$tr£$td£SP$/td£tab_r110tab_r2#ea546ftab_r3$td£$b£6.6%$/b£$/td£§-3.6$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£73$/b£$br£Wahlbeteiligung: $b£49.0%$/b£ (-5.6%)","tab_h_fr$tr£$td£UDC$/td£tab_r176tab_r2#547d34tab_r3$td£$b£50.9%$/b£$/td£§+9.2$/td£$/tr£$tr£$td£Centre$/td£tab_r137tab_r2#f39f5etab_r3$td£$b£24.7%$/b£$/td£§-8.9$/td£$/tr£$tr£$td£PLR$/td£tab_r122tab_r2#6268AFtab_r3$td£$b£15.0%$/b£$/td£§+2.3$/td£$/tr£$tr£$td£PS$/td£tab_r110tab_r2#ea546ftab_r3$td£$b£6.6%$/b£$/td£§-3.6$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£73$/b£$br£Taux de participation: $b£49.0%$/b£ (-5.6%)","tab_h_it$tr£$td£UDC$/td£tab_r176tab_r2#547d34tab_r3$td£$b£50.9%$/b£$/td£§+9.2$/td£$/tr£$tr£$td£Centro$/td£tab_r137tab_r2#f39f5etab_r3$td£$b£24.7%$/b£$/td£§-8.9$/td£$/tr£$tr£$td£PLR$/td£tab_r122tab_r2#6268AFtab_r3$td£$b£15.0%$/b£$/td£§+2.3$/td£$/tr£$tr£$td£PS$/td£tab_r110tab_r2#ea546ftab_r3$td£$b£6.6%$/b£$/td£§-3.6$/td£$/tr£$/table£$br£Schede elettorali valide: $b£73$/b£$br£Tasso di partecipazione: $b£49.0%$/b£ (-5.6%)","SVP"
1344,"Lachen SZ","Lachen (SZ)","Lachen SZ","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
1345,"Reichenburg SZ","Reichenburg (SZ)","Reichenburg SZ","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
1346,"Schübelbach SZ","Schübelbach (SZ)","Schübelbach SZ","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
1347,"Tuggen SZ","Tuggen (SZ)","Tuggen SZ","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
1348,"Vorderthal SZ","Vorderthal (SZ)","Vorderthal SZ","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
1349,"Wangen SZ","Wangen (SZ)","Wangen SZ","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
