"ID","Gemeinde_de","Gemeinde_fr","Gemeinde_it","Text_de","Text_fr","Text_it","Tabelle_de","Tabelle_fr","Tabelle_it","Staerkste_Partei"
6002,"Brig-Glis VS","Brigue-Glis (VS)","Briga-Glis VS","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
6004,"Eggerberg VS","Eggerberg (VS)","Eggerberg VS","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
6007,"Naters VS","Naters (VS)","Naters VS","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
6008,"Ried-Brig VS","Ried-Brig (VS)","Ried-Brig VS","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
6009,"Simplon VS","Simplon (VS)","Sempione VS","Die Spitzenplätze in Simplon bleiben gleich: Unverändert belegen die <b>Mitte</b>, die <b>SVP</b> und die <b>SP</b> die ersten drei Plätze. Sie holen 62,3 Prozent (+0,9 Prozentpunkte), 25,1 Prozent (-0,9 Prozentpunkte) respektive 6,2 Prozent (+0,1 Prozentpunkte) der Stimmen.<br><br>","Le classement n'a pas changé depuis quatre ans à Simplon: le <b>Centre</b> reste premier avec 62,3 % des voix. La formation devance l'<b>UDC</b> (25,1 %, -0,9 points de pourcentage) et le <b>PS</b> (6,2 %, +0,1 points de pourcentage).<br><br>","Nulla è cambiato in quattro anni a Sempione: i tre stessi partiti rimangono in cima. Il partito <b>Centro</b> mantiene la sua posizione al primo posto con il 62,3 percento dei voti. Precede il partito <b>UDC</b> (25,1 percento, -0,9 punti percentuali) e il partito <b>PS</b> (il 6,2 percento, +0,1 punti percentuali).<br><br>","tab_h$tr£$td£Mitte$/td£tab_r194tab_r2#f39f5etab_r3$td£$b£62.3%$/b£$/td£§+0.9$/td£$/tr£$tr£$td£SVP$/td£tab_r138tab_r2#547d34tab_r3$td£$b£25.1%$/b£$/td£§-0.9$/td£$/tr£$tr£$td£SP$/td£tab_r19tab_r2#ea546ftab_r3$td£$b£6.2%$/b£$/td£§+0.1$/td£$/tr£$tr£$td£Grüne$/td£tab_r15tab_r2#26b300tab_r3$td£$b£3.5%$/b£$/td£§+2.0$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£175$/b£$br£Wahlbeteiligung: $b£74.4%$/b£ (+4.3%)","tab_h_fr$tr£$td£Centre$/td£tab_r194tab_r2#f39f5etab_r3$td£$b£62.3%$/b£$/td£§+0.9$/td£$/tr£$tr£$td£UDC$/td£tab_r138tab_r2#547d34tab_r3$td£$b£25.1%$/b£$/td£§-0.9$/td£$/tr£$tr£$td£PS$/td£tab_r19tab_r2#ea546ftab_r3$td£$b£6.2%$/b£$/td£§+0.1$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r15tab_r2#26b300tab_r3$td£$b£3.5%$/b£$/td£§+2.0$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£175$/b£$br£Taux de participation: $b£74.4%$/b£ (+4.3%)","tab_h_it$tr£$td£Centro$/td£tab_r194tab_r2#f39f5etab_r3$td£$b£62.3%$/b£$/td£§+0.9$/td£$/tr£$tr£$td£UDC$/td£tab_r138tab_r2#547d34tab_r3$td£$b£25.1%$/b£$/td£§-0.9$/td£$/tr£$tr£$td£PS$/td£tab_r19tab_r2#ea546ftab_r3$td£$b£6.2%$/b£$/td£§+0.1$/td£$/tr£$tr£$td£Verdi$/td£tab_r15tab_r2#26b300tab_r3$td£$b£3.5%$/b£$/td£§+2.0$/td£$/tr£$/table£$br£Schede elettorali valide: $b£175$/b£$br£Tasso di partecipazione: $b£74.4%$/b£ (+4.3%)","Mitte"
6010,"Termen VS","Termen (VS)","Termen VS","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
6011,"Zwischbergen VS","Zwischbergen (VS)","Zwischbergen VS","Die <b>SVP</b> holt in Zwischbergen am meisten Stimmen, nämlich 159, gefolgt von der <b>Mitte</b> mit 115 Stimmen und der <b>FDP</b> mit elf Stimmen.<br><br>","L'<b>UDC</b>, le <b>Centre</b> et le <b><b>PL</b>R</b> sont les trois partis ayant obtenu le plus de votes à Zwischbergen. Ils obtiennent respectivement 159, 115 et onze voix.<br><br>","La maggior parte dei voti sono distribuiti tra <b>UDC</b>, <b>Centro</b> e <b>PLR</b> a Zwischbergen. Ricevono rispettivamente 159, 115 e undici voti.<br><br>","tab_h$tr£$td£SVP$/td£tab_r181tab_r2#547d34tab_r3$td£$b£53.7%$/b£$/td£§-4.9$/td£$/tr£$tr£$td£Mitte$/td£tab_r158tab_r2#f39f5etab_r3$td£$b£38.9%$/b£$/td£§+1.6$/td£$/tr£$tr£$td£FDP$/td£tab_r16tab_r2#6268AFtab_r3$td£$b£3.7%$/b£$/td£§+2.0$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£37$/b£$br£Wahlbeteiligung: $b£77.1%$/b£ (+19.4%)","tab_h_fr$tr£$td£UDC$/td£tab_r181tab_r2#547d34tab_r3$td£$b£53.7%$/b£$/td£§-4.9$/td£$/tr£$tr£$td£Centre$/td£tab_r158tab_r2#f39f5etab_r3$td£$b£38.9%$/b£$/td£§+1.6$/td£$/tr£$tr£$td£PLR$/td£tab_r16tab_r2#6268AFtab_r3$td£$b£3.7%$/b£$/td£§+2.0$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£37$/b£$br£Taux de participation: $b£77.1%$/b£ (+19.4%)","tab_h_it$tr£$td£UDC$/td£tab_r181tab_r2#547d34tab_r3$td£$b£53.7%$/b£$/td£§-4.9$/td£$/tr£$tr£$td£Centro$/td£tab_r158tab_r2#f39f5etab_r3$td£$b£38.9%$/b£$/td£§+1.6$/td£$/tr£$tr£$td£PLR$/td£tab_r16tab_r2#6268AFtab_r3$td£$b£3.7%$/b£$/td£§+2.0$/td£$/tr£$/table£$br£Schede elettorali valide: $b£37$/b£$br£Tasso di partecipazione: $b£77.1%$/b£ (+19.4%)","SVP"
6021,"Ardon VS","Ardon (VS)","Ardon VS","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
6022,"Chamoson VS","Chamoson (VS)","Chamoson VS","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
6023,"Conthey VS","Conthey (VS)","Conthey VS","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
